post_title,post_body,comment_num,karma,link,post_date
How to Have Productive Conversations About Election Misinformation,,1,14,https://www.wired.com/story/how-to-have-productive-conversations-about-election-misinformation/,2020-11-24 15:50:36
Walmart Exclusive Wi-Fi Router Contains Backdoor To Control Devices,,39,407,https://hfet.org/walmart-exclusive-wi-fi-router-contains-backdoor-to-control-devices/,2020-11-23 20:08:28
First Responders Unprepared for Electric Vehicle Fires: Report,,31,111,https://pittsburgh.legalexaminer.com/legal/first-responders-unprepared-for-electric-vehicle-fires-report/,2020-11-24 02:58:07
"After the meteoric growth of Chinese tech, Beijing considers putting on the brakes – Alibaba and others were once China’s crown jewels. Now, their size is cause for discomfort in Beijing.",,3,4,https://restofworld.org/2020/beijing-eyes-its-own-tech-giants/,2020-11-24 20:33:52
China Has Launched the World's First 6G Satellite. We Don't Even Know What 6G Is Yet.,,1823,26190,https://www.popularmechanics.com/space/satellites/a34739258/china-launches-first-6g-satellite/,2020-11-23 03:16:18
"Apple head of security accused of offering iPads as bribes for concealed gun permits Thomas Moyer allegedly offered $70,000 worth of iPads to Santa Clara officials",,12,108,https://morganhilltimes.com/apples-head-of-security-indicted-in-santa-clara-county-ccw-case/,2020-11-24 02:09:36
This handy site tells you if specific apps work on Apple Silicon yet,,1,11,https://thenextweb.com/plugged/2020/11/24/handy-site-specific-apps-work-on-apple-silicon-m1-chip/,2020-11-24 14:42:41
Tesla market value crosses $500 billion as shares surge six-fold this year,,0,4,https://www.thechronicleherald.ca/business/reuters/tesla-market-value-crosses-500-billion-as-shares-surge-six-fold-this-year-523735/,2020-11-24 19:27:53
"Linus Torvalds would like to use an M1 Mac for Linux, but…",,3,5,https://www.zdnet.com/article/linus-torvalds-would-like-to-use-an-m1-mac-for-linux-but/,2020-11-24 19:04:19
Byju's-owned Indian startup WhiteHat Jr sues critics,,20,830,https://techcrunch.com/2020/11/22/whitehat-jrs-founder-files-2-6m-defamation-suit-against-critic/,2020-11-23 13:51:46
